Year,Type,Homicide_Rate
1990,Domestic,0.71
1991,Domestic,0.6
1992,Domestic,0.71
1993,Domestic,0.76
1994,Domestic,0.84
1995,Domestic,0.64
1996,Domestic,0.6
1997,Domestic,0.62
1998,Domestic,0.59
1999,Domestic,0.66
2000,Domestic,0.58
2001,Domestic,0.81
2002,Domestic,0.63
2003,Domestic,0.57
2004,Domestic,0.52
2005,Domestic,0.61
2006,Domestic,0.52
2007,Domestic,0.63
2008,Domestic,0.4
2009,Domestic,0.45
2010,Domestic,0.41
2011,Domestic,0.43
2012,Domestic,0.43
2013,Domestic,0.42
2014,Domestic,0.4
2015,Domestic,0.42
2016,Domestic,0.4
2017,Domestic,0.3
2018,Domestic,0.3
2019,Domestic,0.32
2020,Domestic,0.31
2021,Domestic,0.23
2022,Domestic,0.3
1990,Acquaintance,0.72
1991,Acquaintance,0.72
1992,Acquaintance,0.74
1993,Acquaintance,0.64
1994,Acquaintance,0.59
1995,Acquaintance,0.61
1996,Acquaintance,0.67
1997,Acquaintance,0.6
1998,Acquaintance,0.69
1999,Acquaintance,0.59
2000,Acquaintance,0.62
2001,Acquaintance,0.57
2002,Acquaintance,0.58
2003,Acquaintance,0.51
2004,Acquaintance,0.47
2005,Acquaintance,0.41
2006,Acquaintance,0.49
2007,Acquaintance,0.37
2008,Acquaintance,0.51
2009,Acquaintance,0.4
2010,Acquaintance,0.39
2011,Acquaintance,0.38
2012,Acquaintance,0.31
2013,Acquaintance,0.26
2014,Acquaintance,0.39
2015,Acquaintance,0.36
2016,Acquaintance,0.34
2017,Acquaintance,0.27
2018,Acquaintance,0.33
2019,Acquaintance,0.34
2020,Acquaintance,0.29
2021,Acquaintance,0.31
2022,Acquaintance,0.24
1990,Stranger,0.1
1991,Stranger,0.17
1992,Stranger,0.27
1993,Stranger,0.3
1994,Stranger,0.24
1995,Stranger,0.2
1996,Stranger,0.16
1997,Stranger,0.15
1998,Stranger,0.18
1999,Stranger,0.13
2000,Stranger,0.17
2001,Stranger,0.19
2002,Stranger,0.12
2003,Stranger,0.21
2004,Stranger,0.15
2005,Stranger,0.24
2006,Stranger,0.15
2007,Stranger,0.14
2008,Stranger,0.14
2009,Stranger,0.18
2010,Stranger,0.13
2011,Stranger,0.1
2012,Stranger,0.13
2013,Stranger,0.14
2014,Stranger,0.1
2015,Stranger,0.08
2016,Stranger,0.15
2017,Stranger,0.1
2018,Stranger,0.13
2019,Stranger,0.18
2020,Stranger,0.13
2021,Stranger,0.12
2022,Stranger,0.13
