Year,State,Homicide_Rate,Homicide_Count
1990,NSW,2.02,119
1991,NSW,1.78,106
1992,NSW,1.87,112
1993,NSW,1.95,118
1994,NSW,1.47,90
1995,NSW,1.78,110
1996,NSW,1.6,100
1997,NSW,1.7,107
1998,NSW,1.76,112
1999,NSW,1.64,106
2000,NSW,1.78,116
2001,NSW,1.47,97
2002,NSW,1.5,99
2003,NSW,1.22,81
2004,NSW,1.09,73
2005,NSW,1.26,85
2006,NSW,1.3,89
2007,NSW,1.27,88
2008,NSW,1.09,76
2009,NSW,1.08,77
2010,NSW,1.07,77
2011,NSW,0.99,72
2012,NSW,0.95,70
2013,NSW,1.08,81
2014,NSW,0.89,68
2015,NSW,0.7,54
2016,NSW,0.88,69
2017,NSW,0.77,62
2018,NSW,1,81
2019,NSW,1.04,85
2020,NSW,0.75,61
2021,NSW,0.88,72
2022,NSW,0.76,63
1990,Vic,1.63,72
1991,Vic,1.21,54
1992,Vic,1.32,59
1993,Vic,1.07,48
1994,Vic,1.65,74
1995,Vic,1.15,52
1996,Vic,1.12,51
1997,Vic,0.91,42
1998,Vic,1.16,54
1999,Vic,1.32,62
2000,Vic,1.15,55
2001,Vic,1.7,82
2002,Vic,1.19,58
2003,Vic,1.4,69
2004,Vic,1.02,51
2005,Vic,1.32,67
2006,Vic,0.91,47
2007,Vic,0.84,44
2008,Vic,0.97,52
2009,Vic,1.12,60
2010,Vic,0.78,43
2011,Vic,0.96,54
2012,Vic,0.81,47
2013,Vic,0.9,52
2014,Vic,0.78,47
2015,Vic,1.04,64
2016,Vic,0.81,51
2017,Vic,0.78,51
2018,Vic,0.68,47
2019,Vic,1.03,67
2020,Vic,0.84,55
2021,Vic,0.74,49
2022,Vic,0.73,50
1990,Qld,1.89,56
1991,Qld,2.25,68
1992,Qld,2.36,73
1993,Qld,1.96,62
1994,Qld,1.82,60
1995,Qld,2,66
1996,Qld,2.38,80
1997,Qld,2.17,74
1998,Qld,1.85,64
1999,Qld,1.71,61
2000,Qld,1.82,65
2001,Qld,2,73
2002,Qld,1.66,62
2003,Qld,1.51,58
2004,Qld,1.3,50
2005,Qld,1.4,56
2006,Qld,1.29,54
2007,Qld,1.28,54
2008,Qld,1.06,46
2009,Qld,1.29,57
2010,Qld,1.09,49
2011,Qld,1.05,49
2012,Qld,1.01,47
2013,Qld,0.76,37
2014,Qld,0.9,43
2015,Qld,0.95,46
2016,Qld,0.67,33
2017,Qld,0.65,33
2018,Qld,0.79,40
2019,Qld,0.97,50
2020,Qld,0.8,42
2021,Qld,0.79,42
2022,Qld,0.9,49
1990,WA,1.34,22
1991,WA,1.75,29
1992,WA,2.03,34
1993,WA,2.11,36
1994,WA,2.65,46
1995,WA,1.87,34
1996,WA,1.28,23
1997,WA,1.86,34
1998,WA,1.78,33
1999,WA,1.86,34
2000,WA,1.47,28
2001,WA,1.66,31
2002,WA,1.64,32
2003,WA,1.82,36
2004,WA,1.34,27
2005,WA,1.46,30
2006,WA,1.23,26
2007,WA,1.38,30
2008,WA,1.38,30
2009,WA,1,23
2010,WA,1.36,32
2011,WA,1.4,33
2012,WA,1.61,40
2013,WA,1.07,27
2014,WA,1.26,32
2015,WA,1.25,32
2016,WA,1.52,39
2017,WA,1.07,28
2018,WA,1.22,32
2019,WA,1.16,31
2020,WA,1.05,29
2021,WA,0.86,24
2022,WA,1.35,39
1990,SA,1.52,22
1991,SA,1.86,27
1992,SA,2.06,30
1993,SA,1.98,29
1994,SA,1.98,29
1995,SA,0.88,13
1996,SA,1.49,22
1997,SA,1.82,27
1998,SA,2.55,38
1999,SA,1.54,23
2000,SA,1.4,21
2001,SA,2.05,31
2002,SA,1.45,22
2003,SA,1.83,28
2004,SA,1.36,21
2005,SA,1.35,21
2006,SA,0.76,12
2007,SA,1.13,18
2008,SA,1.62,26
2009,SA,1.29,21
2010,SA,1.22,20
2011,SA,1.03,18
2012,SA,1.14,20
2013,SA,0.95,14
2014,SA,1,17
2015,SA,1.05,18
2016,SA,1.16,20
2017,SA,0.8,14
2018,SA,0.97,17
2019,SA,0.79,14
2020,SA,0.61,11
2021,SA,0.49,9
2022,SA,0.65,12
1990,Tas,1.07,5
1991,Tas,1.91,9
1992,Tas,1.27,6
1993,Tas,1.06,5
1994,Tas,1.05,5
1995,Tas,1.26,6
1996,Tas,0.63,3
1997,Tas,0.84,4
1998,Tas,1.48,7
1999,Tas,1.9,9
2000,Tas,1.69,8
2001,Tas,1.9,9
2002,Tas,1.25,6
2003,Tas,0.62,3
2004,Tas,2.06,10
2005,Tas,0.61,3
2006,Tas,1.62,8
2007,Tas,1,5
2008,Tas,1.59,8
